County,Sludge (MGD),Food (tons),Food (dry tons),Fog (tons),Fog (dry tons),Green (dry tons),Manure (lbs),Sludge Mass kg/hr,Sludge Electricity (MWH),Sludge Avoided Emissions (million metric tonnes),Sludge Avoided Emissions Percentage,Food Mass kg/hr,Food Electricity (MWH),Food Avoided Emissions (million metric tonnes),Food Avoided Emissions Percentage,Fog Mass kg/hr,Fog Electricity (MWH),Fog Avoided Emissions (million metric tonnes),Fog Avoided Emissions Percentage,Green Mass kg/hr,Green Electricity (MWH),Green Avoided Emissions (million metric tonnes),Green Avoided Emissions Percentage,Manure Mass kg/hr,Manure Electricity (MWH),Manure Avoided Emissions (million metric tonnes),Manure Avoided Emissions Percentage
Atlantic,28.6747,4167.79,1041.9475,1927.1399999999999,1567.325,118397,16159645.0,5423.95,26942071.08,0.594,0.00609,118.94,590848.45,0.013,0.000134,178.81,888451.37,0.0196,0.000201,13.51,67105.34,0.00148,0.0000152,1844.48,9160814.57,0.202,0.00207
Bergen,91.07899999999998,18757.25,4689.3125,15687.58,12700.442000000001,93737,32430067.5,17221.07,85530534.62,1.886,0.01933,535.29,2658765.11,0.0586,0.000601,1449.36,7199237.83,0.1587,0.001627,10.69,53126.18,0.00117,0.0000120,3699.17,18375476.36,0.405,0.00415
Burlington,38.341200000000015,12812.79,3203.1975,6403.09,5123.8279999999995,214810,165492825.0,7248.55,36005097.73,0.794,0.00814,365.5,1815308.68,0.04,0.00041,584.79,2904934.59,0.064,0.000656,24.52,121828.18,0.00268,0.0000275,18885.38,93793088.29,2.067,0.02119
Camden,54.125,1899.37,474.8425,3791.0899999999997,3034.94,73270,15279265.0,10230.68,50823741.85,1.121,0.01148,54.18,269154.52,0.00593,0.0000608,346.39,1720589.51,0.0379,0.000389,8.36,41527.45,0.000915,0.00000938,1744.17,8664804.71,0.191,0.00196
Cape May,18.4509,1030.38,257.595,52253.1,46545.255,90167,16385945.0,3488.23,17330078.66,0.382,0.00392,29.39,145988.3,0.00322,0.0000330,5312.49,26386046.33,0.582,0.00596,10.29,51118.76,0.00113,0.0000116,1869.67,9286026.08,0.205,0.00210
Cumberland,12.1749,22444.44,5611.11,11668.07,9710.142,128487,68301720.0,2301.64,11433960.54,0.252,0.00258,640.43,3181029.38,0.0701,0.000719,1108.01,5503088.0,0.1213,0.00124,14.67,72877.86,0.00161,0.0000165,7794.7,38724278.91,0.854,0.00875
Essex,250.4139,131689.69,32922.4225,6282.93,5084.966,40659,666490.0,47340.75,235133219.72,5.183,0.05311,3757.31,18665081.14,0.4115,0.004217,580.3,2882624.44,0.0635,0.000651,4.64,23050.53,0.000508,0.00000521,76.06,377880.6,0.00833,0.0000854
Gloucester,18.1206,30811.35,7702.8375,10138.599999999999,8495.471,81807,139357000.0,3425.17,17017037.3,0.375,0.00384,879.01,4366788.43,0.0962,0.000986,969.38,4815832.4,0.1062,0.001088,9.34,46394.09,0.00102,0.0000105,15899.92,78982010.89,1.741,0.01784
Hudson,29.1266,1739.35,434.8375,27498.21,21998.568,4129,0.0,5506.3,27351797.58,0.603,0.00618,49.62,246464.79,0.00543,0.0000557,2510.1,12468513.39,0.2748,0.002817,0.471,2340.13,0.0000516,0.000000529,0.0,0.0,0.0,0.0
Hunterdon,6.827300000000001,113.99,28.4975,1705.15,1364.1200000000001,134938,272100017.5,1290.64,6411963.2,0.1413,0.00145,3.251,16150.4,0.000356,0.00000365,155.67,773315.87,0.01704,0.000175,15.4,76495.33,0.00169,0.0000173,31052.93,154281455.71,3.401,0.03486
Mercer,43.6912,5214.92,1303.73,75836.97,65937.659,119709,34652187.5,8259.07,41029228.79,0.904,0.00927,148.76,739152.27,0.0163,0.000167,7526.67,37382116.38,0.8238,0.00844,13.66,67860.85,0.00150,0.0000153,3953.93,19643145.31,0.433,0.00444
Middlesex,124.1513,6134.95,1533.7375,14725.11,11780.088000000002,73388,21555987.5,23480.38,116649004.72,2.571,0.02634,175.0,869337.22,0.01916,0.000196,1344.29,6679095.04,0.1472,0.001509,8.374,41601.48,0.000917,0.0000940,2460.38,12224037.12,0.2694,0.00276
Monmouth,49.95679999999999,2548.04,637.01,16694.960000000003,13356.801000000001,125283,196875160.0,9446.16,46924764.18,1.034,0.01060,72.69,361233.46,0.00796,0.0000816,1524.25,7573088.6,0.1669,0.00171,14.29,71010.17,0.00157,0.0000160,22469.69,111609905.29,2.46,0.02522
Morris,50.85379999999999,3658.87,914.7175,4436.58,3597.2050000000004,113251,56506197.5,9615.0,47763159.51,1.053,0.01079,104.36,518539.32,0.01143,0.000117,410.6,2039560.14,0.04494,0.000461,12.92,64199.62,0.00141,0.0000145,6447.95,32028267.25,0.706,0.00723
Ocean,50.491800000000005,3242.79,810.6975,8075.05,6460.118000000001,158073,46780590.0,9546.07,47420403.96,1.045,0.01071,92.5,459651.45,0.01013,0.000104,737.27,3662861.54,0.0807,0.000828,18.04,89636.59,0.00198,0.0000203,5339.68,26523413.36,0.585,0.00599
Passaic,10.2265,12282.58,3070.645,4137.09,3330.346,57969,10486632.5,1933.49,9605084.7,0.2117,0.00217,350.36,1740464.68,0.04,0.0003837,380.11,1888483.26,0.04162,0.000427,6.617,32876.1,0.000725,0.00000743,1196.82,5945019.77,0.131,0.00134
Salem,3.6643,18.57,4.6425,930.51,763.8040000000001,118525,295397237.5,692.89,3442289.86,0.0759,0.000778,0.53,2632.64,0.0000580,0.000000595,87.16,432973.12,0.00954,0.0000979,13.52,67182.21,0.00148,0.0000152,33700.8,167451831.16,3.691,0.03784
Somerset,25.480000000000008,862.04,215.51,5879.24,4704.5380000000005,50999,100657875.0,4816.88,23928017.13,0.527,0.00541,24.59,122141.14,0.00269,0.0000276,536.87,2667284.72,0.0588,0.000603,5.82,28921.77,0.000637,0.00000653,11487.72,57071155.95,1.258,0.01289
Sussex,3.1844999999999994,905.14,226.285,874.9499999999999,704.763,151081,310151997.5,602.22,2991684.56,0.0660,0.000676,25.82,128302.52,0.00283,0.0000290,80.41,399562.8,0.00880,0.0000903,17.24,85643.6,0.00189,0.0000194,35393.9,175853547.3,3.877,0.03974
Union,104.56629999999998,4957.16,1239.29,9689.86,8410.978,36023,40515.0,19778.27,98253698.57,2.166,0.02219,141.42,702586.52,0.01548,0.000159,959.75,4769349.96,0.1051,0.001078,4.11,20419.27,0.000450,0.00000461,4.62,22957.77,0.000506,0.00000519
Warren,3.9431,2218.36,554.59,8810.12,7841.173000000001,139757,397862592.5,745.47,3702865.38,0.0816,0.000837,63.27,314326.14,0.00693,0.0000710,894.87,4446044.72,0.098,0.001005,15.95,79243.97,0.00175,0.0000179,45403.65,225538424.76,4.973,0.05096
New Jersey,1017.5437,267509.82000000007,66877.45500000002,287445.3999999999,242512.53,2124461,2197139947.5,192406.13,955943842.23,21.079,0.21599,7057.97,35067735.26,0.7732,0.007924,25736.38,127867482.8,2.818,0.02888,242.48,1204541.31,0.02654,0.000272,250672.6,1245025372.59,27.452,0.28129
