County,Incineration,Class A Beneficial Use,Class B Beneficial Use,Out-Of-State Beneficial Use,Out-Of-State State Disposal,In-State Beneficial Use Landfill Cover,Other DTW,County Total (Dry Metric Tonnes/Year),MDSP ($/gal),GWP (lb CO2/gal)
Atlantic,8368.0,316.4,0.0,0.0,0.0,0.0,307.3,8991.7,162.25193382375468,168.93723320463053
Bergen,4096.5,0.0,0.0,0.0,0.0,0.0,14949.8,19046.3,76.96237450898528,82.52776679766501
Burlington,0.0,7637.8,353.1,0.0,328.3,0.0,922.4,9241.6,157.89306130496007,164.51187668630155
Camden,0.0,84.0,0.0,5726.0,0.0,28.0,567.0,6405.0,227.26210635650378,235.02476718740385
Cape May,0.0,331.9,0.0,0.0,0.1,0.0,2840.7,3172.7,456.8218909800272,469.0266293730621
Cumberland,0.0,65.0,886.1,0.0,629.6,0.0,737.6,2318.3,624.1103691287584,639.8985192710369
Essex,0.0,0.0,0.0,21988.0,0.0,15878.5,1800.8,39667.3,36.96619613245198,42.3304906979644
Gloucester,0.0,83.8,0.0,460.2,978.8,2204.6,0.0,3727.4,389.20517850494866,400.0261062420668
Hudson,0.0,0.0,0.0,0.0,0.0,0.0,4610.5,4610.5,315.05947458388744,324.42912788886224
Hunterdon,0.0,0.0,0.0,0.0,56.8,0.0,1596.2,1653.0,875.0219746538468,895.2627724531176
Mercer,6129.0,0.0,0.0,1073.3,179.2,0.0,2460.7,9842.2,148.31904525521196,154.79500463617734
Middlesex,0.0,2093.5,0.0,5904.6,0.0,20907.9,380.4,29286.4,50.03001242178174,55.49499496589644
Monmouth,3488.8,266.0,0.0,0.0,11.6,0.0,6976.6,10743.0,135.95897325057152,142.25762253709738
Morris,0.0,0.0,0.0,0.0,3156.3,0.0,9101.3,12257.6,119.31456232496843,125.33022549191936
Ocean,0.0,8138.4,0.0,0.0,860.2,0.0,33.3,9031.8,161.5363182192737,168.21063088353128
Passaic,0.0,0.0,0.0,0.0,0.0,0.0,2410.2,2410.2,600.435555333015,615.705460205648
Salem,0.0,0.0,247.9,0.0,276.4,0.0,168.5,692.8,2080.6391355837422,2128.3978570692307
Somerset,2910.1,0.0,0.0,0.0,318.9,0.0,1447.7,4676.7,310.62692647881596,319.91230994527865
Sussex,0.0,0.0,0.0,0.0,0.0,0.0,1285.9,1285.9,1123.6055575866344,1149.2859763971464
Union,0.0,599.4,0.0,3830.6,2637.2,0.0,1095.7,8162.9,178.61090718743722,185.55305283346314
Warren,0.0,0.0,0.0,0.0,0.0,0.0,1098.7,1098.7,1314.2240514593743,1344.1681994127584
New Jersey,24992.4,19616.2,1487.1,38982.7,9433.4,39019.0,54791.29999999999,188322.0,7.192796354243878,12.97081782966375
